avaliacao_id,vendedor_id,comprador_id,data_avaliacao,data_criacao_conta,nota,ip_origem,texto_avaliacao
AVAL-00001,VEND-0019,COMP-02695,2023-11-01,2022-10-19,5,178.78.250.151,"Produto ok, dentro do esperado."
AVAL-00002,VEND-0118,COMP-00156,2023-10-20,2023-01-16,3,63.102.198.239,"Produto ok, dentro do esperado."
AVAL-00003,VEND-0107,COMP-01834,2024-11-18,2024-05-13,5,147.114.196.226,Bom produto pelo preço.
AVAL-00004,VEND-0079,COMP-04229,2023-03-25,2022-04-03,5,92.235.229.225,"Produto ok, dentro do esperado."
AVAL-00005,VEND-0117,COMP-02844,2023-08-28,2022-07-12,1,187.99.250.54,Não gostei da qualidade.
AVAL-00006,VEND-0067,COMP-02399,2023-02-09,2021-08-17,4,152.195.231.100,Não gostei da qualidade.
AVAL-00007,VEND-0029,COMP-02396,2024-10-26,2024-06-12,4,185.158.56.125,Produto diferente da foto.
AVAL-00008,VEND-0016,COMP-01686,2023-11-13,2021-11-19,4,167.99.140.119,Não gostei da qualidade.
AVAL-00009,VEND-0029,COMP-02370,2023-02-17,2022-04-27,3,1.96.180.142,Excelente custo-benefício.
AVAL-00010,VEND-0006,COMP-01748,2024-06-22,2023-04-26,5,169.126.196.218,Não gostei da qualidade.
AVAL-00011,VEND-0080,COMP-03686,2023-05-21,2023-02-05,2,210.74.91.57,Excelente custo-benefício.
AVAL-00012,VEND-0005,COMP-00631,2024-01-04,2022-11-22,5,18.202.9.208,Não gostei da qualidade.
AVAL-00013,VEND-0003,COMP-03982,2023-03-02,2021-03-31,5,96.203.54.24,"Veio com defeito, pedi troca."
AVAL-00014,VEND-0115,COMP-03924,2023-07-01,2022-08-11,5,21.185.207.10,
AVAL-00015,VEND-0079,COMP-00299,2023-06-02,2022-11-21,4,1.219.145.120,Produto diferente da foto.
AVAL-00016,VEND-0007,COMP-02289,2023-09-08,2023-03-31,5,155.29.193.113,Demorou um pouco mas chegou bem.
AVAL-00017,VEND-0115,COMP-00883,2024-07-10,2023-10-04,5,239.1.53.93,Excelente custo-benefício.
AVAL-00018,VEND-0064,COMP-04931,2023-12-11,2022-12-10,5,169.146.134.113,Demorou um pouco mas chegou bem.
AVAL-00019,VEND-0111,COMP-03842,2024-04-05,2022-07-23,4,34.149.118.75,Excelente custo-benefício.
AVAL-00020,VEND-0105,COMP-03381,2023-03-17,2021-06-21,5,7.150.231.77,
AVAL-00021,VEND-0120,COMP-00677,2023-11-18,2022-04-13,3,228.223.62.232,"Produto ok, dentro do esperado."
AVAL-00022,VEND-0110,COMP-02079,2024-01-09,2022-02-19,2,158.246.51.221,
AVAL-00023,VEND-0039,COMP-00799,2024-10-30,2023-09-07,1,148.196.58.17,Excelente custo-benefício.
AVAL-00024,VEND-0049,COMP-04008,2024-11-23,2024-03-15,1,217.155.99.159,Excelente custo-benefício.
AVAL-00025,VEND-0115,COMP-00589,2023-08-31,2022-07-10,3,22.249.217.21,Produto diferente da foto.
AVAL-00026,VEND-0105,COMP-03684,2023-05-26,2023-04-01,3,232.57.42.112,Demorou um pouco mas chegou bem.
AVAL-00027,VEND-0065,COMP-01590,2024-09-23,2024-01-26,1,176.45.94.158,Demorou um pouco mas chegou bem.
AVAL-00028,VEND-0074,COMP-04045,2024-04-18,2023-12-18,1,24.1.171.187,Não gostei da qualidade.
AVAL-00029,VEND-0048,COMP-03436,2023-11-29,2022-09-13,3,25.129.203.129,"Produto ok, dentro do esperado."
AVAL-00030,VEND-0062,COMP-01917,2023-09-29,2022-04-28,5,199.235.246.241,Bom produto pelo preço.
AVAL-00031,VEND-0101,COMP-01893,2023-06-06,2022-12-07,4,108.232.183.8,Produto diferente da foto.
AVAL-00032,VEND-0087,COMP-00284,2024-10-04,2023-08-10,5,45.60.6.189,Produto diferente da foto.
AVAL-00033,VEND-0075,COMP-01187,2024-01-03,2022-01-23,5,142.107.94.87,Excelente custo-benefício.
AVAL-00034,VEND-0028,COMP-02061,2023-02-16,2021-08-19,5,177.40.36.219,"Veio com defeito, pedi troca."
AVAL-00035,VEND-0092,COMP-00852,2024-01-12,2022-08-20,4,12.62.88.239,Demorou um pouco mas chegou bem.
AVAL-00036,VEND-0002,COMP-02641,2024-04-27,2024-02-04,5,48.41.128.155,"Recomendo, boa experiência."
AVAL-00037,VEND-0111,COMP-04621,2023-05-31,2022-10-16,2,187.63.94.253,"Veio com defeito, pedi troca."
AVAL-00038,VEND-0003,COMP-00542,2024-06-09,2022-11-27,1,18.171.188.47,
AVAL-00039,VEND-0015,COMP-04598,2023-09-16,2023-04-08,5,141.8.42.201,Não gostei da qualidade.
AVAL-00040,VEND-0033,COMP-01376,2023-08-28,2022-02-09,4,35.143.103.170,"Recomendo, boa experiência."
AVAL-00041,VEND-0032,COMP-04613,2024-01-29,2022-05-05,5,57.180.11.105,Bom produto pelo preço.
AVAL-00042,VEND-0017,COMP-01989,2023-02-17,2022-11-30,5,105.42.35.221,Demorou um pouco mas chegou bem.
AVAL-00043,VEND-0041,COMP-03138,2024-04-08,2023-11-14,5,30.33.101.239,Demorou um pouco mas chegou bem.
AVAL-00044,VEND-0097,COMP-01651,2024-10-02,2022-10-19,3,141.77.135.127,Demorou um pouco mas chegou bem.
AVAL-00045,VEND-0120,COMP-01009,2023-11-04,2023-03-15,2,116.111.131.248,Produto diferente da foto.
AVAL-00046,VEND-0042,COMP-03520,2024-01-13,2024-01-11,5,192.168.1.100,Entrega rápida e produto de qualidade!
AVAL-00047,VEND-0084,COMP-00281,2023-12-23,2022-05-20,5,71.215.71.162,Bom produto pelo preço.
AVAL-00048,VEND-0015,COMP-01134,2024-04-25,2023-01-20,4,96.167.79.224,"Veio com defeito, pedi troca."
